-0.04679927,0.13756059,0.98938714
-0.04679927,0.13756059,0.98938714
-0.00417955,-0.02191303,0.99975114
0.00732383,-0.10927786,0.99398426
-0.00538827,-0.12609594,0.99200342
-0.0226189,-0.0998596,0.99474441
-0.02786852,-0.0806922,0.99634939
-0.01798875,-0.03659904,0.99916811
0.02277344,0.00357669,0.99973425
0.04777701,0.03671054,0.9981832
0.04060152,0.10480494,0.99366365
0.02813009,0.1283039,0.99133587
-0.01537189,0.2718681,0.96221174
-0.00939057,0.29833823,0.95441402
0.02609585,0.32657081,0.94481242
0.03390787,0.40580324,0.91333126
0.03883797,0.49565233,0.86765222
0.03995999,0.53607259,0.84322558
0.02315462,0.58201088,0.81285128
-0.01382141,0.56652404,0.8239293
0.01378175,0.61538369,0.78810721
0.01832426,0.6374587,0.7702666
